rank,doi,year,authors,title,journal,citations,altmetric_score
1,10.3389/fcosc.2020.615419,2021,"Bradshaw, CJA; Ehrlich, PR; Beattie, A; Ceballos, G; Crist, E; Diamond, J; Dirzo, R; Ehrlich, AH; Harte, J; Harte, ME; Pyke, G; Raven, PH; Ripple, WJ; Saltré, F; Turnbull, C; Wackernagel, M; Blumstein, DT",Underestimating the challenges of avoiding a ghastly future,Front Conserv Sci,374,
2,10.1371/journal.pcbi.1011268,2023,"Strona, G; Bradshaw, CJA; Cardoso, P; Gotelli, NJ; Guillaume, F; Manca, F; Mustonen, V; Zaman, L",Time-travelling pathogens and their risk to ecological communities,PLoS Comput Biol,4,
3,10.1038/s41586-021-03405-6,2021,"Diagne, C; Leroy, B; Vaissière, AC; Gozlan, RE; Roiz, D; Jarić, I; Salles, JM; Bradshaw, CJA; Courchamp, F",High and rising economic costs of biological invasions worldwide,Nature,1146,
4,10.1098/rsos.201197,2021,"Bradshaw, CJA; Meagher, P; Thiele, MJ; Harcourt, RG; Huveneers, C",Predicting potential future reduction in shark bites on people,R Soc Open Sci,14,
5,10.1073/pnas.1410465111,2014,"Bradshaw, CJA; Brook, BW",Human population reduction is not a quick fix for environmental problems,Proc Natl Acad Sci USA,142,
6,10.1038/ncomms12986,2016,"Bradshaw, CJA; Leroy, B; Bellard, C; Roiz, D; Albert, C; Fournier, A; Barbet-Massin, M; Salles, JM; Simard, F; Courchamp, F",Massive yet grossly underestimated global costs of invasive insects,Nat Commun,771,
7,10.1016/j.quascirev.2023.108418,2024,"Norman, K; Bradshaw, CJA; Saltré, F; Clarkson, C; Cohen, TJ; Hiscock, P; Jones, T; Boesl, F",Sea level rise drowned a vast habitable area of north-western Australia driving long-term cultural change,Quat Sci Rev,12,
8,10.1016/j.rser.2017.03.114,2017,"Heard, B; Brook, B; Wigley, T; Bradshaw, CJA",Burden of proof: A comprehensive review of the feasibility of 100% renewable-electricity systems,Renew Sustain Energy Rev,328,
9,10.1038/s41598-019-42946-9,2019,"Bird, MI; Condie, SA; O’Connor, S; O’Grady, D; Reepmeyer, C; Ulm, S; Zega, M; Saltré, F; Bradshaw, CJA",Early human settlement of Sahul was not an accident,Sci Rep,91,
10,10.1038/s41598-018-35068-1,2018,"Strona, G; Bradshaw, CJA",Co-extinctions annihilate planetary life during extreme environmental change,Sci Rep,75,
11,10.1088/1748-9326/ae51aa,2026,"Bradshaw, CJA; Judge, MA; Blumstein, DT; Ehrlich, PR; Dasgupta, ANZ; Wackernagel, M; Weeda, LJZ; Le Souëf, PN",Global human population has surpassed Earth’s sustainable carrying capacity,Environ Res Lett,0,
